652.302	220.525	652.336	220.382
896.256	209.79	895.995	209.721
1150.23	199.534	1150.35	199.187
1411.88	189.778	1411.63	189.938
631.671	464.888	632.12	464.902
894.744	459.207	894.787	459.314
1169.65	453.198	1169.76	453.366
1453.2	446.924	1453.16	446.838
611.485	747.99	611.302	748.095
893.444	750.962	893.556	751.007
1191.95	750.984	1191.56	750.959
1492.56	744.236	1492.84	744.316
627.867	274.424	627.669	274.172
840.483	276.998	840.305	276.998
1052.63	279.981	1052.56	280.054
1263.29	283.041	1263.39	283.202
558.315	470.206	558.615	470.316
812.778	473.721	812.754	473.689
1067.14	476.626	1067.02	476.728
1319.06	479.587	1318.98	479.572
465.368	755.884	465.372	755.828
772.421	766.564	772.44	766.545
1088.35	769.794	1088.24	769.63
1395.68	767.056	1396.07	767.103
648.014	313.57	647.978	313.211
835.526	315.791	835.484	315.799
1019.04	318.305	1018.9	318.422
1197.86	320.786	1197.92	320.976
567.714	458.723	568.001	458.822
804.987	460.37	805.013	460.167
1036.52	461.184	1036.28	461.25
1260.4	462.235	1260.44	462.257
440.228	703.901	440.312	704.02
753.413	707.644	753.203	707.735
1065.75	704.592	1065.73	704.527
1362.6	698.51	1362.77	698.455
550.688	236.764	550.533	236.697
837.145	233.405	837.011	233.377
1102.09	231.64	1102.27	231.589
1345.01	230.694	1344.8	230.778
589.324	506.652	589.64	506.643
852.713	493.971	852.92	494.189
1097.06	482.468	1097.08	482.482
1322.48	471.653	1322.51	471.585
625.466	734.677	625.236	734.483
866.504	715.783	866.591	715.867
1092.79	697.199	1092.51	697.133
1301.68	678.894	1301.93	678.949
630.718	350.997	630.55	350.986
918.787	319.41	918.852	319.716
1181.8	291.454	1182.08	291.486
1419.9	267.149	1419.68	266.927
706.402	580.447	706.499	580.259
944.444	545.367	944.475	545.457
1164.56	513.187	1164.85	513.145
1368.16	483.226	1368.16	483.082
761.074	741.868	760.645	741.695
962.725	706.822	962.769	706.839
1152.57	673.652	1152.17	673.682
1328.5	641.965	1328.79	642.145
725.502	216.325	725.45	216.244
959.846	250.01	959.853	250.258
1144.77	277.337	1144.85	277.283
1294.16	299.335	1294.08	299.257
716.795	457.496	716.867	457.533
942.158	462.959	942.382	463.004
1122.16	467.373	1122.05	467.331
1268.32	470.96	1268.37	470.824
709.919	676.398	709.755	676.374
926.269	658.206	926.346	658.258
1101.24	643.474	1100.89	643.289
1243.79	630.64	1244.04	630.805
878.149	172.367	878.201	172.269
1085.89	239.547	1085.73	239.745
1228.07	286.461	1228.31	286.263
1332.17	320.421	1331.97	320.297
845.972	439.146	846.029	439.237
1057.32	457.251	1057.23	457.304
1202.88	469.69	1202.98	469.758
1309.34	478.916	1309.38	478.821
815.11	699.082	815.018	699.003
1029.12	670.008	1029.33	670.154
1178.24	650.174	1177.94	649.862
1286.55	634.448	1286.68	634.763
712.226	249.469	712.06	249.409
905.315	240.912	905.245	241.104
1145.81	231.17	1145.9	231.027
1447.69	220.343	1447.75	220.479
700.483	456.857	700.749	456.942
893.328	471.431	893.428	471.467
1133.62	489.452	1133.59	489.547
1436.97	512.131	1436.92	511.926
690.057	665.355	689.9	665.357
881.577	703.161	881.582	703.11
1121.02	749.482	1120.73	749.289
1417.94	801.742	1418.18	801.833
753.446	270.332	753.412	270.361
893.969	237.676	893.96	237.69
1099.08	190.512	1099	190.251
1418.3	119.539	1418.45	119.643
742.72	448.392	743.192	448.556
885.954	448.914	886.071	449.062
1097.29	449.901	1097.03	449.871
1435.34	451.06	1435.58	451.053
732.911	635.544	732.631	635.819
877.737	673.416	877.711	673.43
1094.64	729.007	1094.58	729.173
1439.64	810.853	1439.35	810.476
865.673	105.143	866.057	105.076
1074.01	180.942	1073.99	180.928
1253.72	247.316	1254.13	247.062
1410.52	304.86	1410.18	305.188
804.956	282.43	804.969	282.787
1057.24	357.95	1057.23	358.002
1269.47	421.356	1269.86	421.493
1449.09	475.425	1448.87	475.32
712.873	552.743	712.532	552.71
1032.47	616.831	1032.49	616.971
1291.26	668.691	1290.96	668.036
1496.27	705.824	1496.56	705.882
756.285	215.538	756.286	215.486
1024.28	240.203	1024.18	240.418
1223.77	259.448	1224.1	259.262
1378.11	274.376	1377.75	274.244
762.63	496.968	762.654	497.012
1009.99	482.25	1010	482.432
1198.47	471.189	1198.69	471.24
1346.64	462.487	1346.73	462.343
768.876	733.938	768.66	733.779
997.569	691.042	997.748	691.078
1176.5	657.445	1176.13	657.294
1317.98	629.724	1318.15	629.935
751.552	269.961	751.39	269.875
875.743	250.35	875.784	250.258
1048.54	223.061	1048.43	223.043
1302.67	183.5	1302.7	183.674
770.058	427.589	770.454	427.576
891.744	433.18	891.828	433.236
1057.88	441.011	1057.51	440.917
1296.83	451.993	1296.86	451.881
788.238	572.57	788.047	572.685
906.368	599.636	906.394	599.415
1065.61	635.175	1065.6	635.295
1289.82	685.07	1290.06	685.115
522.615	169.149	522.622	169.037
770.141	196.096	769.896	195.937
984.918	220.891	984.945	220.863
1170.93	242.507	1170.87	242.616
507.267	405.877	507.584	405.88
759.956	416.358	759.885	416.447
977.667	425.436	977.747	425.56
1165.99	433.457	1165.77	433.427
496.511	647.657	496.436	647.645
749.94	641.119	750.049	641.24
970.569	634.066	970.421	633.947
1160.19	627.338	1160.47	627.422
776.692	283.772	776.639	283.572
925.756	259.017	925.75	259.103
1113.51	228.629	1113.53	228.369
1354.97	189.677	1355.04	189.777
767.715	448.133	768.098	448.2
922.81	442.345	922.863	442.38
1120.05	434.939	1119.83	435.004
1377.43	425.358	1377.34	425.328
759.16	626.17	758.961	626.372
919.679	642.799	919.71	642.724
1126.61	663.484	1126.65	663.562
1398.55	688.972	1398.62	688.926
