2.68353	0.0167044	-0.0696596	-0.0690028	0.0382236	0.148073
2.38395	-0.0089281	-0.0828349	-0.0829053	0.0338157	0.159259
2.36622	0.0789405	-0.415081	-0.0923355	0.0347677	0.191488
2.64536	0.0212408	-0.652645	-0.0714768	0.0431511	0.193636
2.88504	0.111249	-0.789433	-0.0651467	0.035517	0.19212
-2.96298	-0.154631	0.819275	-0.0530544	0.0518761	0.206325
-2.75884	-0.0282564	0.662248	-0.0598032	0.0500335	0.205535
-2.86632	0.0734082	0.138979	-0.0828378	0.0485139	0.15309
-3.01028	0.117406	-0.207098	-0.071008	0.055742	0.125929
2.96014	-0.133865	0.557733	-0.0638486	0.0523533	0.109215
2.8146	-0.151369	0.67174	-0.0533566	0.0422826	0.0893767
2.62075	-0.227282	0.623916	-0.0592113	0.0356503	0.0960055
2.43142	-0.258587	0.402427	-0.0636356	0.0426676	0.105296
2.41894	-0.318177	0.278733	-0.0651714	0.0380044	0.114061
