128.487	56.9255	128.015	56.3762
148.842	63.484	149.705	63.4486
174.453	71.8044	173.931	71.7033
200.644	80.9484	200.527	81.2073
122.838	81.0183	122.017	81.2668
142.53	89.4196	142.965	89.6839
166.247	99.2836	166.31	99.2101
191.961	110.119	191.916	109.838
116.928	105.304	116.448	105.374
136.262	114.689	136.556	114.91
159.158	125.38	158.886	125.459
183.154	136.876	183.305	136.946
79.0455	55.3702	78.5788	55.1635
112.566	59.7002	113.45	59.6723
146.086	64.1897	145.252	64.4562
173.26	68.6501	173.338	69.156
73.2077	91.4305	73.1537	91.9219
106.993	94.4728	107.986	94.7181
140.142	97.5466	139.806	97.4686
167.701	100.383	168.004	100.046
69.6924	127.627	69.1923	127.741
102.582	129.172	103.272	128.86
134.895	129.769	134.613	129.674
162.479	130.43	162.571	130.245
41.8979	50.29	42.0882	50.1607
65.4563	58.8714	65.9118	58.9977
91.3817	68.6475	90.4657	68.4298
114.434	78.0738	114.642	77.9449
32.8935	72.6085	32.7244	72.8128
57.5455	81.8521	57.7727	82.0783
84.2849	91.6061	83.658	91.624
108.896	101.032	109.118	100.994
23.8602	98.086	23.7305	97.9115
49.2588	107.567	49.7318	107.494
77.135	117.067	76.785	116.986
103.09	125.728	103.424	126.011
54.203	37.0709	54.463	36.9431
83.8073	42.02	84.3967	41.9918
114.292	47.8811	113.439	47.812
140.387	53.8758	140.399	53.8277
50.2982	66.1517	50.0941	66.4908
81.3504	70.9255	81.9395	71.2259
113.012	76.3275	112.481	76.2446
140.359	81.3593	140.566	81.1803
47.3341	99.5927	46.9081	99.5147
79.6235	103.51	80.1679	103.439
112.186	107.319	111.853	107.203
140.572	110.655	140.804	110.661
