3.06199	0.018546	0.0556306	-0.191573	0.135949	0.122249
2.78735	0.0765729	0.0360098	-0.187016	0.108637	0.0846545
-2.9129	-0.0299965	0.00842678	-0.174358	0.147251	0.190525
-2.74546	0.00507895	0.0351803	-0.156292	0.175676	0.198674
-3.08206	-0.15331	-0.340008	-0.175972	0.143568	0.1066
-3.00985	-0.362827	-0.706104	-0.139933	0.126011	0.0782265
-3.08894	-0.142282	0.449433	-0.201165	0.123689	0.205565
-3.02435	-0.130083	0.767154	-0.183947	0.124245	0.232572
2.63903	0.257373	0.520795	-0.104778	0.0701647	0.0246838
2.51703	0.223811	0.284895	-0.119715	0.0553957	0.0526498
2.44614	0.269121	-0.349793	-0.189282	0.0682074	0.128076
2.51043	0.352258	-0.594894	-0.193778	0.064998	0.170025
-2.98826	-0.294747	0.747753	-0.176628	0.104328	0.235616
-2.93241	-0.223974	0.537707	-0.161423	0.124782	0.230618
-2.91063	-0.157081	-0.565147	-0.151664	0.152425	0.120944
