x	y	kxx	kxy	kyy
425.724	208.219	0.00263509	-2.62576e-05	0.0024236
700.883	212.229	0.00221863	0.000196465	0.00217291
974.77	219.434	0.00232435	-3.41709e-05	0.00255237
1239.56	227.126	0.00305466	-7.58896e-05	0.00286036
401.269	482.714	0.00321605	-4.691e-05	0.00315213
688.467	486.472	0.00297722	-8.76057e-05	0.00247986
973.443	489.759	0.00228728	4.55173e-05	0.00234874
1248.55	492.913	0.00401945	0.000196786	0.00341026
385.229	774.942	0.00403156	0.000208809	0.00407112
676.813	781.435	0.00347633	-0.000443217	0.00355685
972.06	780.909	0.00324897	-2.59649e-05	0.00395714
1255.41	777.083	0.00429468	9.36146e-06	0.00426433
513.542	183.335	0.0032984	-0.000309161	0.0021386
765.598	197.572	0.00280497	4.01811e-05	0.00227655
1017.73	213.61	0.00317514	7.0464e-05	0.00252723
1266.02	229.59	0.00399853	0.000481973	0.00277069
426.314	413.313	0.00339017	-0.0005199	0.00284994
720.604	430.694	0.00284877	-0.000124386	0.00203984
1017.06	447.609	0.00245161	0.000101793	0.0021545
1307.94	464.583	0.00459505	0.000615634	0.00313874
318.785	730.987	0.0051949	-0.00104466	0.00619926
658.803	760.596	0.00424243	-0.000869366	0.00490103
1015.5	779.563	0.0034631	0.000487081	0.00423859
1359.78	791.126	0.00524334	0.000802675	0.00595287
516.523	276.911	0.00233154	0.000424909	0.00244784
783.262	280.733	0.0022618	0.000220314	0.00242795
1053.74	286.015	0.00262697	-0.000309088	0.00276049
1323.64	292.187	0.00339251	-0.000489506	0.00308024
550.145	530.337	0.00317637	0.000233364	0.00249129
793.193	535.645	0.00300545	2.95524e-05	0.00255447
1038.98	541.203	0.00318532	-9.28043e-05	0.00258552
1284.31	546.282	0.00538685	-0.000251993	0.00340401
580.255	740.911	0.00409338	0.000506739	0.00302693
802.006	747.192	0.00423033	-0.00011775	0.00349122
1026.51	752.484	0.00472444	0.000130838	0.00349119
1249.54	756.322	0.00534704	-0.000424171	0.00396181
489.544	418.2	0.0034703	0.00092871	0.00286472
810.698	417.178	0.00260569	0.000244847	0.00223568
1145.03	416.879	0.00381798	-0.000481959	0.00265241
1480.16	418.377	0.00534247	-0.00134365	0.00469528
570.173	672.986	0.00464665	0.000651683	0.00287363
836.593	676.357	0.00434933	-0.000139891	0.00330316
1110.87	679.591	0.00512337	0.000194729	0.00338137
1387.99	681.07	0.00682917	-0.00140582	0.00405877
629.194	850.641	0.0065936	0.0012176	0.00322619
854.767	856.606	0.00634229	0.000321277	0.0032201
1087.57	860.72	0.00745742	-0.000210205	0.0030731
1319.5	861	0.0100261	-0.00193287	0.00418413
472.634	219.808	0.00248926	0.000304738	0.00228397
811.519	271.272	0.00202269	0.000278392	0.00228698
1088.11	315.612	0.00283663	-0.000302855	0.00304551
1313.55	351.988	0.00354756	-0.000116863	0.00429369
445.104	550.178	0.00388552	5.0842e-05	0.00276838
783.124	568.86	0.0028145	-0.000282812	0.00246904
1059.43	583.45	0.00325037	9.64779e-05	0.00330949
1285.18	594.821	0.00429116	-0.000147834	0.00440546
430.993	863.272	0.00541634	0.00044561	0.00370672
756.76	856.843	0.00369384	-0.000307501	0.00311117
1031.56	843.896	0.0040366	-0.000349658	0.00449875
1255.22	829.898	0.00437262	-0.000983515	0.00514036
737.096	180.445	0.00216176	0.000695513	0.002296
1023.36	298.82	0.00237076	-0.000101952	0.00343119
1210.17	377.19	0.00339744	-0.000295131	0.00469831
1341.75	432.367	0.00317505	-0.000481788	0.00634783
651.468	522.206	0.00394297	-0.000257391	0.00229801
959.041	570.967	0.00256375	-0.000184879	0.00312043
1159.22	602.293	0.00384253	-0.000229075	0.00528496
1299.43	624.316	0.00357819	-0.00104966	0.00649801
571.629	867.379	0.00515917	-0.000664466	0.00315526
893.459	847.89	0.00366362	-0.000939371	0.00425095
1107.13	831.358	0.00415703	-0.00125674	0.00572739
1255.11	817.556	0.00465164	-0.00199822	0.00744849
547.634	238.704	0.00218457	-0.000122007	0.00310509
731.808	234.535	0.00206782	-2.52614e-05	0.00286673
965.989	230.189	0.00228752	-0.00025459	0.00263456
1269.62	225.473	0.00355687	-0.000522399	0.0027126
532.808	453.366	0.00269295	0.000120395	0.00367829
713.437	474.756	0.00280425	3.68331e-05	0.00309182
942.391	501.995	0.00277866	1.37957e-05	0.00273284
1239.28	536.835	0.00497086	0.000497811	0.00316774
519.894	663.103	0.00305982	0.000301367	0.00420283
696.187	709.334	0.00314907	7.93823e-05	0.00417077
919.309	766.043	0.00330944	0.000388222	0.00411515
1205.48	836.178	0.00481482	0.00054051	0.00367316
602.545	251.942	0.00211155	-0.000259672	0.00475453
749.485	231.966	0.00198413	-0.000157975	0.00362229
968.634	202.51	0.00225342	-0.000459903	0.00307581
1323.36	157.924	0.00401298	-0.000825316	0.00293112
591.715	453.654	0.00261526	2.8646e-05	0.00517692
734.37	473.059	0.00274434	-4.21887e-05	0.00381682
946.053	502.14	0.00270822	0.00012612	0.00284117
1289.26	548.145	0.00513382	0.000315324	0.00312715
581.786	650.049	0.00284328	0.00051526	0.00629123
720.249	707.003	0.00284646	0.000334525	0.00508602
923.878	789.379	0.00321185	0.000760856	0.00507262
1245.22	913.458	0.0061558	0.00106468	0.00461893
820.828	71.9859	0.0123679	0.0152569	0.0247844
1069.06	188.97	0.00413016	0.00155329	0.00380522
1256.74	279.237	0.00562087	0.0027727	0.00571446
1403.08	349.457	0.00570611	0.0036301	0.007592
748.495	295.64	0.00319193	0.000730571	0.00212641
1069.29	403.688	0.00299561	0.000678307	0.00299027
1295.51	480.115	0.00462682	0.00204609	0.00585204
1460.68	536.744	0.00573608	0.00372957	0.0104311
618.594	703.676	0.00478374	-0.000969418	0.00364591
1067.78	754.435	0.0030299	0.000479074	0.00573459
1350.18	782.272	0.0041046	0.00143366	0.00792165
1530.67	794.784	0.00540179	0.00360796	0.0168143
812.585	156.438	0.00483843	0.000812958	0.0021829
1023.75	219.454	0.00532125	0.0012187	0.00295327
1211.6	276.476	0.00661694	0.00241796	0.00434553
1379.93	327.357	0.00694357	0.00302249	0.00464956
749.711	305.028	0.00337476	0.000448909	0.00182403
1019.36	374.071	0.00325669	0.000562721	0.0023725
1253.39	434.249	0.00507578	0.00160143	0.00371567
1454.72	486.617	0.00655787	0.00320126	0.00599365
637.384	569.282	0.00372713	-0.000570137	0.00219976
1011.34	638.174	0.00252468	0.000477854	0.00308876
1319.55	693.245	0.00459215	0.0019035	0.00523252
1559.38	730.193	0.00734448	0.00429764	0.011178
745.77	251.987	0.00683909	-0.00149437	0.00283514
911.935	251.165	0.00596989	-0.000834648	0.00267046
1116.42	250.956	0.00609535	-0.00057922	0.00238597
1371.63	250.862	0.00735059	0.000207043	0.00222894
646.331	375.772	0.00483399	-0.00128864	0.00264633
838.091	391.051	0.00379759	-0.000607124	0.00220477
1087.93	411.172	0.0039665	-7.12302e-05	0.00199447
1419.19	438.637	0.00691388	0.000798106	0.00313466
496.898	563.515	0.00424368	-0.00178396	0.00346944
