x	y	kxx	kxy	kyy
70.1805	42.6922	0.0179655	-0.00141577	0.0134952
106.863	40.7064	0.0243692	-0.000742752	0.0188351
144.385	39.0863	0.0261871	0.000424893	0.0175057
181.274	38.023	0.0227699	0.00144606	0.0129355
67.367	75.2241	0.0255474	-0.00208918	0.0198179
106.785	73.7198	0.0511501	-0.00441401	0.0368065
146.706	71.8599	0.0511182	0.00190406	0.0402631
186.262	70.4839	0.0327405	0.00290258	0.0252066
64.892	112.424	0.0333259	-0.0046799	0.0319229
106.529	111.425	0.0647573	-0.00363763	0.0598877
149.807	109.938	0.0694109	0.00172983	0.0577947
191.256	107.691	0.0406333	0.00485226	0.0406619
60.5451	58.4533	0.0477192	-0.00620508	0.021116
96.8612	57.9782	0.063473	-0.00197078	0.0237077
134.33	58.0041	0.0872524	0.00134652	0.0277831
171.357	57.9913	0.0692903	0.00403536	0.0237354
53.1647	83.5482	0.0430198	-0.00562064	0.0227188
93.5401	83.5788	0.0780179	-0.00465154	0.0397176
135.225	83.2668	0.108211	0.000593833	0.0520083
176.652	83.1929	0.0765794	0.00299079	0.0383
44.9201	114.581	0.0404852	-0.00507305	0.0255994
89.236	115.468	0.08981	-0.00799171	0.0539588
136.705	116.114	0.103165	0.00181112	0.0580939
182.883	115.163	0.0851498	0.0058667	0.0538622
101.629	50.3179	0.0504709	-0.00612316	0.0209026
130.879	50.3108	0.0527973	-0.00375605	0.0218695
162.009	50.305	0.0431499	-0.00217502	0.020727
194.16	50.5963	0.0345199	-0.000983743	0.0137905
92.7077	71.401	0.0529599	-0.00549164	0.0266946
124.32	72.0157	0.066325	-0.0070862	0.0344208
157.822	72.8946	0.0587001	0.000535327	0.0299001
193.24	73.6032	0.0410002	-0.000339326	0.019554
82.8233	96.1182	0.0531203	-0.00824342	0.0327905
116.298	98.1004	0.0780245	-0.00620367	0.0501552
152.995	99.8205	0.0804588	-0.00709463	0.0471619
191.226	101.538	0.046565	0.000149595	0.0328185
117.983	62.5907	0.0434391	-0.00704354	0.0288829
146.805	62.9933	0.0436825	-0.00599756	0.027904
178.615	63.4513	0.0350262	-0.00242124	0.0204414
212.852	64.0335	0.022615	-0.0016526	0.0157698
107.936	89.6282	0.057058	-0.011478	0.0461418
138.007	91.4326	0.0575027	-0.00965959	0.0516662
171.643	93.4808	0.0442471	-0.00503074	0.0408231
208.123	95.5817	0.0312869	-0.00222801	0.0237238
97.5561	119.166	0.0540693	-0.00947396	0.0539567
128.286	123.533	0.0608996	-0.010515	0.0618348
163.246	127.537	0.0536055	-0.0112682	0.0576995
201.732	131.524	0.0371548	-0.00114502	0.0381363
112.206	78.2336	0.0418095	-0.00628402	0.0418722
137.616	79.9235	0.0396509	-0.00628691	0.0411016
166.242	82.0657	0.0376068	-0.00411858	0.0347117
197.729	84.2343	0.0267173	-0.00186956	0.0226134
104.349	106.099	0.0460894	-0.00728152	0.0531253
129.922	109.647	0.0536695	-0.00732015	0.0553051
158.752	113.892	0.0466068	-0.0031531	0.0532855
191.219	118.058	0.0376616	-0.00152012	0.0390775
96.4252	134.865	0.037801	-0.00699644	0.0518657
121.837	140.789	0.046786	-0.00580045	0.0586448
